
id,name,wikilink,counter,lang,botanist
30,Stinging nettle,http://en.wikipedia.org/wiki/Stinging_nettle,2,en,
31,"Cichorium intybus, Chicory",http://en.wikipedia.org/wiki/Chicory,45,en,
32,Nerium,http://en.wikipedia.org/wiki/Nerium,9,en,
33,Prunus spinosa,http://en.wikipedia.org/wiki/Prunus_spinosa,5,en,
34,"Chamerion angustifolium, Fireweed",http://en.wikipedia.org/wiki/Chamerion_angustifolium,18,en,
35,Echinops ritro,http://en.wikipedia.org/wiki/Echinops_ritro,15,en,
36,Eichhornia crassipes,http://en.wikipedia.org/wiki/Eichhornia_crassipes,7,en,
37,Chenopodium,http://en.wikipedia.org/wiki/Chenopodium,29,en,
38,Verbascum densiflorum,http://en.wikipedia.org/wiki/Verbascum_densiflorum,7,en,
39,Clematis,http://en.wikipedia.org/wiki/Clematis,94,en,
40,"Oenothera, Evening primrose",http://en.wikipedia.org/wiki/Oenothera,17,en,
41,"Erica carnea, Winter heath",http://en.wikipedia.org/wiki/Erica_carnea,5,en,
42,Butomus umbellatus,http://en.wikipedia.org/wiki/Butomus_umbellatus,2,en,
43,"Lilium, Lily",http://en.wikipedia.org/wiki/Lilium,190,en,
44,"Anthurium, Tailflower",http://en.wikipedia.org/wiki/Anthurium,156,en,
45,"Rosa, Rose",http://en.wikipedia.org/wiki/Rose,434,en,
46,"Cleome hassleriana, Spider plant",http://en.wikipedia.org/wiki/Cleome_hassleriana,94,en,
47,Portulaca oleracea,http://en.wikipedia.org/wiki/Portulaca_oleracea,77,en,
48,"Spathiphyllum, Peace lily",http://en.wikipedia.org/wiki/Spathiphyllum,342,en,
49,Dahlia,http://en.wikipedia.org/wiki/Dahlia,234,en,
50,"Cotinus coggygria, Smoke tree",http://en.wikipedia.org/wiki/Cotinus_coggygria,23,en,
51,"Leucanthemum, Daisy",http://en.wikipedia.org/wiki/Leucanthemum,33,en,
52,"Parthenocissus quinquefolia, Virginia creeper",http://en.wikipedia.org/wiki/Parthenocissus_quinquefolia,200,en,
53,"Oxalis triangularis, Love plant, Purple shamrock",http://en.wikipedia.org/wiki/Oxalis_triangularis,58,en,
54,Lobelia cardinalis,http://en.wikipedia.org/wiki/Lobelia_cardinalis,12,en,
55,Bougainvillea,http://en.wikipedia.org/wiki/Bougainvillea,85,en,
56,"Cirsium vulgare, Spear Thistle",http://en.wikipedia.org/wiki/Cirsium_vulgare,14,en,
57,"Petroselinum crispum, Parsley",http://en.wikipedia.org/wiki/Parsley,19,en,
58,Achillea ptarmica,http://en.wikipedia.org/wiki/Achillea_ptarmica,3,en,
60,Phlox paniculata,http://en.wikipedia.org/wiki/Phlox_paniculata,101,en,
61,Morus nigra,http://en.wikipedia.org/wiki/Morus_nigra,2,en,
62,Stachys sylvatica,http://en.wikipedia.org/wiki/Stachys_sylvatica,2,en,
63,Eryngium alpinum,http://en.wikipedia.org/wiki/Eryngium_alpinum,2,en,
64,"Phalaenopsis, Moth orchid",http://en.wikipedia.org/wiki/Phalaenopsis,329,en,
65,"Zantedeschia aethiopica, Calla lily",http://en.wikipedia.org/wiki/Zantedeschia_aethiopica,54,en,
66,Stapelia gigantea,http://en.wikipedia.org/wiki/Stapelia_gigantea,7,en,
67,Cucurbita pepo,http://en.wikipedia.org/wiki/Cucurbita_pepo,69,en,
68,Nerine bowdenii,http://en.wikipedia.org/wiki/Nerine_bowdenii,8,en,
69,Spiraea salicifolia,http://species.wikimedia.org/wiki/Spiraea_salicifolia,4,en,
70,Rudbeckia hirta,http://en.wikipedia.org/wiki/Rudbeckia_hirta,30,en,
71,Cyperus alternifolius,http://en.wikipedia.org/wiki/Cyperus_alternifolius,14,en,
72,Nicandra,http://en.wikipedia.org/wiki/Nicandra,12,en,
73,Fuchsia,http://en.wikipedia.org/wiki/Fuchsia,67,en,
74,Papaver,http://en.wikipedia.org/wiki/Papaver,29,en,
75,"Lagerstroemia indica, Crape myrtle",http://en.wikipedia.org/wiki/Lagerstroemia_indica,78,en,
77,Euonymus japonicus,http://en.wikipedia.org/wiki/Euonymus_japonicus,18,en,
78,"Digitalis, Foxglove",http://en.wikipedia.org/wiki/Digitalis,15,en,
79,"Hydrangea, Hortensia",http://en.wikipedia.org/wiki/Hydrangea,106,en,
80,"Lupinus polyphyllus, Large-leaved Lupine",http://en.wikipedia.org/wiki/Lupinus_polyphyllus,26,en,
81,"Dianthus barbatus, Sweet william",http://en.wikipedia.org/wiki/Dianthus_barbatus,74,en,
82,Briza maxima,http://en.wikipedia.org/wiki/Briza_maxima,3,en,
83,Prunus,http://en.wikipedia.org/wiki/Prunus,84,en,
85,"Buddleja davidii, Butterfly-bush",https://en.wikipedia.org/wiki/Buddleja_davidii,45,en,
86,"Chenopodium album, Lamb's quarters",http://en.wikipedia.org/wiki/Chenopodium_album,89,en,
87,"Lotus corniculatus, Bird's-foot Trefoil",http://en.wikipedia.org/wiki/Lotus_corniculatus,15,en,
88,"Foeniculum vulgare, Common Fennel",http://en.wikipedia.org/wiki/Fennel,13,en,
89,"Alnus, Alder",https://en.wikipedia.org/wiki/Alder,7,en,
90,"Ficus carica, Common Fig",http://en.wikipedia.org/wiki/Common_fig,24,en,
91,Chaenomeles speciosa,http://en.wikipedia.org/wiki/Chaenomeles_speciosa,7,en,
92,Phytolacca dioica,http://en.wikipedia.org/wiki/Phytolacca_dioica,1,en,
93,Stapelia grandiflora,http://en.wikipedia.org/wiki/Stapelia_grandiflora,3,en,
94,Tiger lily,http://en.wikipedia.org/wiki/Tiger_lily,1,en,
95,"Campanula, Bellflower",https://en.wikipedia.org/wiki/Campanula,51,en,
96,Pulsatilla,https://en.wikipedia.org/wiki/Pulsatilla,7,en,
97,Lilium pardalinum,http://en.wikipedia.org/wiki/Lilium_pardalinum,1,en,
98,Aethusa cynapium,http://en.wikipedia.org/wiki/Aethusa_cynapium,1,en,
99,Berberis vulgaris,http://en.wikipedia.org/wiki/Berberis_vulgaris,1,en,
100,"Paeonia, Paeony",http://en.wikipedia.org/wiki/Peony,104,en,
101,"Hoya, Waxplant",http://en.wikipedia.org/wiki/Hoya,12,en,
102,Centaurium,http://en.wikipedia.org/wiki/Centaurium,2,en,
103,Buddleja,http://en.wikipedia.org/wiki/Buddleja,6,en,
104,"Helianthus tuberosus, Jerusalem artichoke",http://en.wikipedia.org/wiki/Jerusalem_artichoke,33,en,
106,Oxalis acetosella,http://en.wikipedia.org/wiki/Oxalis_acetosella,5,en,
107,Dianthus,http://en.wikipedia.org/wiki/Dianthus,28,en,
108,"Malva, Mallow",http://en.wikipedia.org/wiki/Malva,40,en,
112,"Campanula rapunculoides, Creeping Bellflower",http://en.wikipedia.org/wiki/Campanula_rapunculoides,17,en,
113,Lilium lancifolium,http://en.wikipedia.org/wiki/Lilium_lancifolium,20,en,
114,"Lysimachia vulgaris, Yellow Loosestrife",http://en.wikipedia.org/wiki/Lysimachia_vulgaris,6,en,
115,Echinops,http://en.wikipedia.org/wiki/Echinops,1,en,
116,Prunella ,http://en.wikipedia.org/wiki/Prunella_%28plant%29,2,en,
117,Physalis,http://en.wikipedia.org/wiki/Physalis,6,en,
118,Begonia,http://en.wikipedia.org/wiki/Begonia,104,en,
119,"Datura inoxia, Downy thorn-apple",http://en.wikipedia.org/wiki/Datura_inoxia,38,en,
120,Actaea rubra,http://en.wikipedia.org/wiki/Actaea_rubra,5,en,
121,"Acanthus spinosus, Armed bear's breeches",http://en.wikipedia.org/wiki/Acanthus_spinosus,6,en,
123,Limonium,http://en.wikipedia.org/wiki/Limonium,5,en,
126,"Ilex, Holly",http://en.wikipedia.org/wiki/Holly,27,en,
127,Physalis alkekengi,http://en.wikipedia.org/wiki/Physalis_alkekengi,14,en,
128,Coleus,http://en.wikipedia.org/wiki/Coleus,8,en,
130,Kalanchoe,http://en.wikipedia.org/wiki/Kalanchoe,70,en,
131,"Cornus sanguinea, Common Dogwood",http://en.wikipedia.org/wiki/Common_Dogwood,7,en,
132,Viburnum opulus,http://en.wikipedia.org/wiki/Viburnum_opulus,5,en,
133,Capsicum frutescens,http://en.wikipedia.org/wiki/Capsicum_frutescens,19,en,
134,"Passiflora edulis, Passion fruit ",http://en.wikipedia.org/wiki/Passiflora_edulis,16,en,
135,Phacelia tanacetifolia,http://en.wikipedia.org/wiki/Phacelia_tanacetifolia,10,en,
136,"Plumbago auriculata, Blue plumbago",http://en.wikipedia.org/wiki/Plumbago_auriculata,45,en,
137,"Gomphrena globosa, Globe Amaranth, Bachelor Button",http://en.wikipedia.org/wiki/Gomphrena_globosa,24,en,
138,Arum,http://en.wikipedia.org/wiki/Arum,26,en,
139,Agapanthus africanus,http://en.wikipedia.org/wiki/Agapanthus_africanus,6,en,
140,"Clerodendrum trichotomum, Harlequin glorybower, glorytree, peanut butter tree",http://en.wikipedia.org/wiki/Clerodendrum_trichotomum,19,en,
141,Parnassia palustris,http://en.wikipedia.org/wiki/Parnassia_palustris,1,en,
142,Drosera anglica,http://en.wikipedia.org/wiki/Drosera_anglica,2,en,
143,Cannabis,http://en.wikipedia.org/wiki/Cannabis,35,en,
144,"Clematis recta, Plamének přímý",http://www.botanickafotogalerie.cz/fotogalerie.php?latName=Clematis recta,1,cs,
145,"Impatiens capensis, Orange jewelweed, spotted jewelweed, spotted touch-me-not",http://en.wikipedia.org/wiki/Impatiens_capensis,31,en,
147,Humulus,http://en.wikipedia.org/wiki/Humulus,2,en,
148,Papaya,http://en.wikipedia.org/wiki/Papaya,5,en,
149,Aeonium arboreum,http://en.wikipedia.org/wiki/Aeonium_arboreum,21,en,
150,"Lathyrus odoratus, Sweet pea",http://en.wikipedia.org/wiki/Sweet_pea,10,en,
151,Hypericum,http://en.wikipedia.org/wiki/Hypericum,27,en,
152,Caryopteris,http://en.wikipedia.org/wiki/Caryopteris,3,en,
154,Iresine herbstii,http://en.wikipedia.org/wiki/Iresine_herbstii,21,en,
155,Linaria vulgaris,http://en.wikipedia.org/wiki/Linaria_vulgaris,19,en,
156,"Arctium, Burdock",http://en.wikipedia.org/wiki/Arctium,49,en,
157,Symphoricarpos albus,http://en.wikipedia.org/wiki/Symphoricarpos_albus,25,en,
159,"Persicaria maculosa, Spotted lady's thumb",http://en.wikipedia.org/wiki/Persicaria_maculosa,26,en,
161,Eryngium,http://en.wikipedia.org/wiki/Eryngium,16,en,
162,Echinocystis,http://en.wikipedia.org/wiki/Echinocystis,5,en,
163,Lathyrus sylvestris,http://en.wikipedia.org/wiki/Lathyrus_sylvestris,2,en,
165,"Chaenomeles japonica, Japanese quince",http://en.wikipedia.org/wiki/Chaenomeles_japonica,22,en,
166,"Passiflora quadrangularis, Giant granadilla",http://en.wikipedia.org/wiki/Giant_granadilla,3,en,
167,"Malva moschata, Musk-mallow",http://en.wikipedia.org/wiki/Malva_moschata,13,en,
169,Dipsacus,http://en.wikipedia.org/wiki/Dipsacus,7,en,
171,"Impatiens hawkeri, New Guinea impatiens",http://en.wikipedia.org/wiki/Impatiens_hawkeri,97,en,
173,Dicentra spectabilis,http://en.wikipedia.org/wiki/Lamprocapnos,15,en,
174,"Aquilegia, Columbine",http://en.wikipedia.org/wiki/Aquilegia,65,en,
175,Eucalyptus,http://en.wikipedia.org/wiki/Eucalyptus,25,en,
176,Datura,http://en.wikipedia.org/wiki/Datura,8,en,
177,Ornithogalum arabicum,http://en.wikipedia.org/wiki/Ornithogalum_arabicum,9,en,
178,"Schefflera arboricola, Dwarf Umbrella Tree",http://en.wikipedia.org/wiki/Schefflera_arboricola,347,en,
179,Epilobium dodonaei,http://en.hortipedia.com/wiki/Epilobium_dodonaei,1,en,
180,Acacia,http://en.wikipedia.org/wiki/Acacia,7,en,
181,Solanum villosum,http://en.wikipedia.org/wiki/Solanum_villosum,5,en,
182,"Codiaeum variegatum var. pictum, Garden croton",http://en.wikipedia.org/wiki/Codiaeum_variegatum,134,en,
183,Carthamus tinctorius,http://en.wikipedia.org/wiki/Safflower,18,en,
185,Gloriosa superba,http://en.wikipedia.org/wiki/Gloriosa_superba,21,en,
186,Arbutus menziesii,http://en.wikipedia.org/wiki/Arbutus_menziesii,5,en,
187,"Schefflera actinophylla, Queensland umbrella tree",http://en.wikipedia.org/wiki/Schefflera_actinophylla,74,en,
188,Cleome,http://en.wikipedia.org/wiki/Cleome,7,en,
189,Maclura pomifera,http://en.wikipedia.org/wiki/Maclura_pomifera,11,en,
190,"Phytolacca, Pokeweed",http://en.wikipedia.org/wiki/Pokeweed,13,en,
191,"Lunaria annua, Annual honesty, Money plant",http://en.wikipedia.org/wiki/Lunaria_annua,20,en,
192,Camellia sinensis,http://en.wikipedia.org/wiki/Camellia_sinensis,3,en,
193,Amaranthus,http://en.wikipedia.org/wiki/Amaranth,31,en,
194,"Cercocarpus, Mountain mahogany",http://en.wikipedia.org/wiki/Cercocarpus,1,en,
195,"Taraxacum, Dandelion",http://en.wikipedia.org/wiki/Taraxacum,78,en,
196,"Vaccinium myrtillus, European blueberry",http://en.wikipedia.org/wiki/Vaccinium_myrtillus,2,en,
197,"Crataegus, Hawthorn",http://en.wikipedia.org/wiki/Crataegus,34,en,
198,"Phytolacca americana, American Pokeweed",http://en.wikipedia.org/wiki/Phytolacca_americana,296,en,
199,"Lavandula, Lavender",http://en.wikipedia.org/wiki/Lavandula,42,en,
200,Cynara scolymus,http://en.wikipedia.org/wiki/Artichoke,10,en,
201,Phoenix canariensis,http://en.wikipedia.org/wiki/Phoenix_canariensis,12,en,
202,"Zinnia elegans, Common zinnia",http://en.wikipedia.org/wiki/Zinnia_elegans,100,en,
203,Gazania,http://en.wikipedia.org/wiki/Gazania,11,en,
204,Lathyrus,http://en.wikipedia.org/wiki/Lathyrus,5,en,
205,Bidens frondosa,http://en.wikipedia.org/wiki/Bidens_frondosa,27,en,
206,"Lycoris radiata, Red spider lily",http://en.wikipedia.org/wiki/Lycoris_radiata,115,en,
207,"Verbascum, Mullein",http://en.wikipedia.org/wiki/Verbascum,24,en,
208,Cotoneaster,http://en.wikipedia.org/wiki/Cotoneaster,32,en,
209,Cardamine flexuosa,http://en.wikipedia.org/wiki/Cardamine_flexuosa,1,en,
210,Platycerium bifurcatum,http://en.wikipedia.org/wiki/Platycerium_bifurcatum,12,en,
211,"Eschscholzia californica, California Poppy",http://en.wikipedia.org/wiki/Eschscholzia_californica,31,en,
212,Pancratium maritimum,http://en.wikipedia.org/wiki/Pancratium_maritimum,1,en,
213,Calycotome villosa,http://en.wikipedia.org/wiki/Calicotome,1,en,
215,"Solanum nigrum, European black nightshade",http://en.wikipedia.org/wiki/Solanum_nigrum,121,en,
216,Cyclamen hederifolium,http://en.wikipedia.org/wiki/Cyclamen_hederifolium,12,en,
217,Acer campestre,http://en.wikipedia.org/wiki/Acer_campestre,6,en,
218,Kohleria,http://en.wikipedia.org/wiki/Kohleria,4,en,
219,"Maianthemum bifolium, Pstroček dvoulistý",http://cs.wikipedia.org/wiki/Pstro%C4%8Dek_dvoulist%C3%BD,1,cs,
220,Centaurea jacea,http://en.wikipedia.org/wiki/Centaurea_jacea,4,en,
221,Dryopteris,http://en.wikipedia.org/wiki/Dryopteris,8,en,
222,"Corylus colurna, Turkish hazel",http://en.wikipedia.org/wiki/Corylus_colurna,1,en,
223,Dracaena,http://en.wikipedia.org/wiki/Dracaena_(plant),138,en,
224,Tagetes,http://en.wikipedia.org/wiki/Tagetes,4,en,
225,"Colocasia esculenta, Taro",http://en.wikipedia.org/wiki/Colocasia_esculenta,22,en,
226,Tradescantia virginiana,http://en.wikipedia.org/wiki/Tradescantia_virginiana,35,en,
227,Passiflora miniata,http://keyserver.lucidcentral.org/weeds/data/03030800-0b07-490a-8d04-0605030c0f01/media/Html/Passiflora_miniata.htm,4,en,
228,"Achillea millefolium, Common yarrow",http://en.wikipedia.org/wiki/Achillea_millefolium,43,en,
229,"Peltigera, Hávnatka",http://cs.wikipedia.org/wiki/H%C3%A1vnatka,1,cs,
231,"Solanum dulcamara, Lilek potměchuť",http://botany.cz/cs/solanum-dulcamara/,2,cs,
232,"Mentha longifolia, Máta dlouholistá",http://cs.wikipedia.org/wiki/M%C3%A1ta_dlouholist%C3%A1,2,cs,
233,"Epilobium dodonaei, Vrbovka rozmarýnolistá",http://botany.cz/cs/epilobium-dodonaei/,1,cs,
234,Senecio bicolor,http://en.wikipedia.org/wiki/Jacobaea_maritima,1,en,
235,"Commelina communis, křížatka obecná",http://botany.cz/cs/commelina-communis/,2,cs,
236,Eustoma,http://en.wikipedia.org/wiki/Eustoma,66,en,
237,Capparis,http://en.wikipedia.org/wiki/Capparis,3,en,
238,"Polytrichum, Hair moss",http://en.wikipedia.org/wiki/Polytrichum,6,en,
239,Parthenocissus,http://en.wikipedia.org/wiki/Parthenocissus,26,en,
240,Sedum kamtschaticum,http://www.pfaf.org/user/Plant.aspx?LatinName=Sedum+kamtschaticum,1,en,
241,"Acer platanoides, Javor mléč",http://cs.wikipedia.org/wiki/Javor_ml%C3%A9%C4%8D,3,cs,
242,"Protea, Sugarbush",http://en.wikipedia.org/wiki/Protea,47,en,
243,Phytolacca esculenta,http://www.pfaf.org/user/Plant.aspx?LatinName=Phytolacca+esculenta,29,en,
244,Iris,http://en.wikipedia.org/wiki/Iris_%28plant%29,41,en,
245,Lycoris,http://en.wikipedia.org/wiki/Lycoris_%28plant%29,10,en,
246,"Fraxinus excelsior, European ash",http://en.wikipedia.org/wiki/Fraxinus_excelsior,23,en,
249,Hibiscus schizopetallus,http://en.wikipedia.org/wiki/Hibiscus_schizopetalus,3,en,
250,"Asparagus officinalis, Asparagus",http://en.wikipedia.org/wiki/Asparagus,11,en,
251,"Rhus typhina, Staghorn sumac",http://en.wikipedia.org/wiki/Rhus_typhina,41,en,
252,Echium webbii,http://en.wikipedia.org/wiki/Echium_webbii,1,en,
253,Clitoria,http://en.wikipedia.org/wiki/Clitoria,5,en,
254,"Leucospermum, Pincushion Protea",http://en.wikipedia.org/wiki/Leucospermum,46,en,
255,Tricyrtis hirta,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j100,7,en,
256,Cornus canadensis,http://en.wikipedia.org/wiki/Cornus_canadensis,8,en,
257,"Justicia brandegeeana, Mexican shrimp plant",http://en.wikipedia.org/wiki/Justicia_brandegeeana,19,en,
258,"Malva moschata, Sléz pižmový",http://botany.cz/cs/malva-moschata/,1,cs,
259,"Limonium sinuatum, Wavyleaf sea-lavender",http://en.wikipedia.org/wiki/Limonium_sinuatum,45,en,
260,"Hibiscus rosa-sinensis, Rose mallow",http://en.wikipedia.org/wiki/Hibiscus_rosa-sinensis,168,en,
261,Petunia,http://en.wikipedia.org/wiki/Petunia,132,en,
262,Celosia argentea var. cristata,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b728,89,en,
263,Euonymus americanus,http://en.wikipedia.org/wiki/Euonymus_americanus,12,en,
264,Heliconia rostrata,http://en.wikipedia.org/wiki/Heliconia_rostrata,9,en,
265,"Cotoneaster, skalník",http://cs.wikipedia.org/wiki/Skaln%C3%ADk_%28Cotoneaster%29,1,cs,
267,Magnolia,http://en.wikipedia.org/wiki/Magnolia,19,en,
268,"Zamioculcas zamiifolia, Zanzibar Gem",http://en.wikipedia.org/wiki/Zamioculcas,127,en,
269,Scabiosa,http://en.wikipedia.org/wiki/Scabiosa,5,en,
270,"Euphorbia leuconeura, Madagascar jewel",http://en.wikipedia.org/wiki/Euphorbia_leuconeura,39,en,
273,"Betula, Birch",http://en.wikipedia.org/wiki/Birch,16,en,
274,Convolvulus tricolor,http://en.wikipedia.org/wiki/Convolvulus_tricolor,3,en,
275,Haemanthus albiflos,http://en.wikipedia.org/wiki/Haemanthus_albiflos,9,en,
276,Leycesteria formosa,http://en.wikipedia.org/wiki/Leycesteria_formosa,40,en,
277,Medinilla speciosa,http://en.wikipedia.org/wiki/Medinilla_speciosa,1,en,
278,Fittonia,http://en.wikipedia.org/wiki/Fittonia,6,en,
279,Leonotis,http://en.wikipedia.org/wiki/Leonotis,2,en,
280,Rudbeckia,http://en.wikipedia.org/wiki/Rudbeckia,16,en,
281,Earthstar,http://en.wikipedia.org/wiki/Geastraceae,1,en,
282,"Asphodelus, Asphodel",http://en.wikipedia.org/wiki/Asphodelus,5,en,
283,Canna indica,http://en.wikipedia.org/wiki/Canna_indica,24,en,
284,Aster,http://en.wikipedia.org/wiki/Aster_%28genus%29,27,en,
285,"Ricinus communis, Castor oil plant",http://en.wikipedia.org/wiki/Castor_oil_plant,79,en,
286,"Commelina communis, Dayflower",http://en.wikipedia.org/wiki/Commelina_communis,18,en,
287,"Solenostemon scutellarioides, Coleus",http://en.wikipedia.org/wiki/Solenostemon_scutellarioides,200,en,
288,"Kerria japonica, zákula japonská",http://cs.wikipedia.org/wiki/Z%C3%A1kula_japonsk%C3%A1,1,cs,
289,Rumex alpinus,http://en.wikipedia.org/wiki/Rumex_alpinus,1,en,
291,"Mahonia bealei, Leatherleaf mahonia",http://www.plantoftheweek.org/week450.shtml,25,en,
292,"Callicarpa dichotoma, Purple Beautyberry",http://en.wikipedia.org/wiki/Callicarpa_dichotoma,14,en,
293,"Helianthus tuberosus, topinambur",http://botany.cz/cs/helianthus-tuberosus/,1,cs,
294,"Saponaria pumila, Mydlice nízká",http://botany.cz/cs/saponaria-pumila/,2,cs,
295,Centaurea scabiosa,http://en.wikipedia.org/wiki/Centaurea_scabiosa,2,en,
296,"Pandanus, Screw pine",http://en.wikipedia.org/wiki/Pandanus,14,en,
297,"Acer palmatum, Japanese Maple",http://en.wikipedia.org/wiki/Acer_palmatum,54,en,
298,Setcreasea purpurea 'Variegata',http://loghouseplants.com/plants/shop/setcreasea-purpurea-purple-variegated/,1,en,
299,"Prunus serrulata, Japanese Cherry, Kwanzan cherry",http://en.wikipedia.org/wiki/Prunus_serrulata,11,en,
300,"Viburnum rhytidophyllum, kalina svraskalá",http://botany.cz/cs/viburnum-rhytidophyllum/,1,cs,
301,"Medicago lupulina, tolice dětelová",http://botany.cz/cs/medicago-lupulina/,3,cs,
302,Echium plantagineum,http://en.wikipedia.org/wiki/Echium_plantagineum,7,en,
304,Colchicum,http://en.wikipedia.org/wiki/Colchicum,1,en,
305,Helleborus foetidus,http://en.wikipedia.org/wiki/Helleborus_foetidus,6,en,
306,Punica granatum,http://en.wikipedia.org/wiki/Pomegranate,19,en,
308,Brassica oleracea,http://en.wikipedia.org/wiki/Brassica_oleracea,66,en,
309,"Saxifraga cymbalaria, lomikámen východní",http://www.rostliny.net/rostlina/Saxifraga_cymbalaria,1,cs,
310,"Helianthemum grandiflorum, devaterník velkokvětý",http://botany.cz/cs/helianthemum-obscurum/,1,cs,
311,"Aglaonema, Chinese evergreen",http://en.wikipedia.org/wiki/Aglaonema,71,en,
312,Sorghum,http://en.wikipedia.org/wiki/Sorghum,28,en,
313,"Asclepias syriaca, Common Milkweed",http://en.wikipedia.org/wiki/Asclepias_syriaca,65,en,
314,Arbutus,http://en.wikipedia.org/wiki/Arbutus,4,en,
315,Ixia,http://en.wikipedia.org/wiki/Ixia,4,en,
316,"Abutilon pictum, Redvein Abutilon",http://en.wikipedia.org/wiki/Abutilon_pictum,22,en,
318,Sparmannia africana,http://eol.org/pages/5425402/overview,2,en,
319,"Calathea, Calathea",http://en.wikipedia.org/wiki/Calathea,8,en,
320,Xerochrysum,http://en.wikipedia.org/wiki/Xerochrysum,2,en,
321,"Cosmos bipinnatus, Garden cosmos, Mexican aster",http://en.wikipedia.org/wiki/Cosmos_bipinnatus,101,en,
322,Galtonia,http://en.wikipedia.org/wiki/Galtonia,1,en,
323,Chlorophytum,http://en.wikipedia.org/wiki/Chlorophytum,42,en,
326,"Tulipa gesneriana, Garden tulip",http://en.wikipedia.org/wiki/Tulipa_gesneriana,9,en,
327,"Solidago, Goldenrod",http://en.wikipedia.org/wiki/Solidago,61,en,
328,Nepenthes,http://eol.org/pages/60885/overview,13,en,
329,Picea pungens,http://eol.org/pages/1033621/overview,2,en,
331,"Crepis biennis, Škarda dvouletá",http://botany.cz/cs/crepis-biennis/,2,cs,
332,"Prunus avium, Třešeň ptačí",http://botany.cz/cs/prunus-avium/,4,cs,
333,"Symphyotrichum novi-belgii, Astřička novobelgická",http://botany.cz/cs/symphyotrichum-novi-belgii/,1,cs,
334,"Geranium dissectum, kakost dlanitosečný",http://botany.cz/cs/geranium-dissectum/,1,cs,
335,"Tragopogon, kozí brada",http://www.botanickafotogalerie.cz/fotogalerie.php?lng=cz&latName=Tragopogon,1,cs,
337,Asclepias,http://en.wikipedia.org/wiki/Asclepias,3,en,
341,Spiraea japonica,http://eol.org/pages/627220/overview,2,en,
344,"Geum urbanum, kuklík městský",http://botany.cz/cs/geum-urbanum/,2,cs,
345,"Geranium, Cranesbill",http://en.wikipedia.org/wiki/Geranium,58,en,
346,"Ribes, meruzalka",http://cs.wikipedia.org/wiki/Meruzalka,2,cs,
347,"Fraxinus excelsior, jasan ztepilý",http://cs.wikipedia.org/wiki/Jasan,3,cs,
352,Russelia equisetiformis,http://eol.org/pages/468894/overview,10,en,
